************************************************************************************
**  X-ray Anomalous Scattering Data.
**  			
**  Form factor for an atom: f = f0 + f' + if", where f0 is scattering-angle 
**  dependent and energy independent, f' and f" are the corrections along 
**  with energy which are energy-dependent but angle independent.
**  
**  The following data were downloaded from 
**     http://skuld.bmsc.washington.edu/scatter/AS_periodic.html.
**  Energy range: 1.0 - 24.9 KeV; Element Z: 1-92
**  Data set format: X-ray_Energy(KeV)   f'(electron)   f"(electron)   
**
**                                              ----   March 17, 2006
************************************************************************************


Element: H,  Z:  1
01-H data starts
 7.900        0.0014641         0.0003505
 8.000        0.0014306         0.0003403
 8.100        0.0013982         0.0003305
 8.200        0.0013669         0.0003211
 8.300        0.0013367         0.0003121
 8.400        0.0013075         0.0003034
 8.500        0.0012793         0.0002950
 8.600        0.0012519         0.0002870
 8.700        0.0012254         0.0002793
 8.800        0.0011998         0.0002718
 8.900        0.0011750         0.0002647
 9.000        0.0011511         0.0002579
 9.100        0.0011279         0.0002514
 9.200        0.0011054         0.0002450
 9.300        0.0010836         0.0002390
 9.400        0.0010624         0.0002331
 9.500        0.0010419         0.0002274
 9.600        0.0010220         0.0002220
 9.700        0.0010026         0.0002167
 9.800        0.0009838         0.0002116
 9.900        0.0009656         0.0002066
10.000        0.0009478         0.0002018
10.100        0.0009306         0.0001972
10.200        0.0009138         0.0001927
10.300        0.0008975         0.0001884
10.400        0.0008816         0.0001842
10.500        0.0008661         0.0001801
10.600        0.0008511         0.0001762
10.700        0.0008364         0.0001724
10.800        0.0008222         0.0001687
10.900        0.0008083         0.0001651
11.000        0.0007947         0.0001616
11.100        0.0007815         0.0001582
11.200        0.0007686         0.0001550
11.300        0.0007561         0.0001518
11.400        0.0007438         0.0001487
11.500        0.0007319         0.0001457
11.600        0.0007203         0.0001428
11.700        0.0007089         0.0001399
11.800        0.0006978         0.0001372
11.900        0.0006870         0.0001345
12.000        0.0006764         0.0001319
12.100        0.0006660         0.0001293
12.200        0.0006560         0.0001269
12.300        0.0006461         0.0001245
12.400        0.0006365         0.0001221
12.500        0.0006270         0.0001199
12.600        0.0006178         0.0001177
12.700        0.0006088         0.0001155
12.800        0.0006000         0.0001134
12.900        0.0005914         0.0001113
13.000        0.0005830         0.0001094
13.100        0.0005747         0.0001074
13.200        0.0005667         0.0001055
13.300        0.0005588         0.0001037
13.400        0.0005510         0.0001019
13.500        0.0005435         0.0001001
13.600        0.0005361         0.0000984
13.700        0.0005288         0.0000967
13.800        0.0005217         0.0000951
13.900        0.0005147         0.0000935
14.000        0.0005079         0.0000919
14.100        0.0005012         0.0000904
14.200        0.0004947         0.0000889
14.300        0.0004882         0.0000874
14.400        0.0004819         0.0000860
14.500        0.0004758         0.0000846
14.600        0.0004697         0.0000833
14.700        0.0004638         0.0000820
14.800        0.0004580         0.0000807
14.900        0.0004522         0.0000794
15.000        0.0004466         0.0000782
15.100        0.0004411         0.0000770
15.200        0.0004357         0.0000758
15.300        0.0004304         0.0000746
15.400        0.0004252         0.0000735
15.500        0.0004201         0.0000724
15.600        0.0004151         0.0000713
15.700        0.0004102         0.0000702
15.800        0.0004054         0.0000692
15.900        0.0004006         0.0000682
16.000        0.0003959         0.0000672
16.100        0.0003914         0.0000662
16.200        0.0003869         0.0000652
16.300        0.0003824         0.0000643
16.400        0.0003781         0.0000634
16.500        0.0003738         0.0000625
16.600        0.0003696         0.0000616
16.700        0.0003655         0.0000607
16.800        0.0003614         0.0000599
16.900        0.0003574         0.0000590
17.000        0.0003535         0.0000582
17.100        0.0003497         0.0000574
17.200        0.0003459         0.0000566
17.300        0.0003421         0.0000559
17.400        0.0003385         0.0000551
17.500        0.0003348         0.0000544
17.600        0.0003313         0.0000537
17.700        0.0003278         0.0000529
17.800        0.0003244         0.0000522
17.900        0.0003210         0.0000516
18.000        0.0003176         0.0000509
18.100        0.0003144         0.0000502
18.200        0.0003111         0.0000496
18.300        0.0003079         0.0000489
18.400        0.0003048         0.0000483
18.500        0.0003017         0.0000477
18.600        0.0002987         0.0000471
18.700        0.0002957         0.0000465
18.800        0.0002928         0.0000459
18.900        0.0002899         0.0000453
19.000        0.0002870         0.0000448
19.100        0.0002842         0.0000442
19.200        0.0002814         0.0000437
19.300        0.0002787         0.0000432
19.400        0.0002760         0.0000426
19.500        0.0002734         0.0000421
19.600        0.0002707         0.0000416
19.700        0.0002682         0.0000411
19.800        0.0002656         0.0000406
19.900        0.0002631         0.0000401
20.000        0.0002607         0.0000397
20.100        0.0002582         0.0000392
20.200        0.0002558         0.0000388
20.300        0.0002535         0.0000383
20.400        0.0002511         0.0000379
20.500        0.0002488         0.0000374
20.600        0.0002466         0.0000370
20.700        0.0002443         0.0000366
20.800        0.0002421         0.0000362
20.900        0.0002400         0.0000358
21.000        0.0002378         0.0000354
21.100        0.0002357         0.0000350
21.200        0.0002336         0.0000346
21.300        0.0002315         0.0000342
21.400        0.0002295         0.0000338
21.500        0.0002275         0.0000334
21.600        0.0002255         0.0000331
21.700        0.0002236         0.0000327
21.800        0.0002216         0.0000324
21.900        0.0002197         0.0000320
22.000        0.0002179         0.0000317
22.100        0.0002160         0.0000313
22.200        0.0002142         0.0000310
22.300        0.0002124         0.0000307
22.400        0.0002106         0.0000303
22.500        0.0002088         0.0000300
22.600        0.0002071         0.0000297
22.700        0.0002054         0.0000294
22.800        0.0002037         0.0000291
22.900        0.0002020         0.0000288
23.000        0.0002004         0.0000285
23.100        0.0001987         0.0000282
23.200        0.0001971         0.0000279
23.300        0.0001955         0.0000276
23.400        0.0001939         0.0000274
23.500        0.0001924         0.0000271
23.600        0.0001909         0.0000268
23.700        0.0001893         0.0000265
23.800        0.0001878         0.0000263
23.900        0.0001864         0.0000260
24.000        0.0001849         0.0000258
24.100        0.0001834         0.0000255
24.200        0.0001820         0.0000253
24.300        0.0001806         0.0000250
24.400        0.0001792         0.0000248
24.500        0.0001778         0.0000245
24.600        0.0001765         0.0000243
24.700        0.0001751         0.0000241
24.800        0.0001738         0.0000238
24.900        0.0001704         0.0000236
03-Li data ends

Element: Be,  Z:  4
04-Be data starts
 1.000        0.1252529         0.1175488
 1.100        0.1102620         0.0975989
 1.200        0.0978177         0.0822180
 1.300        0.0873791         0.0701183
 1.400        0.0785379         0.0604352
 1.500        0.0709832         0.0525707
 1.600        0.0644755         0.0461005
 1.700        0.0588286         0.0407168
 1.800        0.0538956         0.0361919
 1.900        0.0495599         0.0323546
 2.000        0.0457278         0.0290741
 2.100        0.0421807         0.0262508
 2.200        0.0391461         0.0238116
 2.300        0.0364267         0.0216845
 2.400        0.0339795         0.0198191
 2.500        0.0317691         0.0181750
 2.600        0.0297653         0.0167188
 2.700        0.0279429         0.0154236
 2.800        0.0262803         0.0142669
 2.900        0.0247590         0.0132298
 3.000        0.0233630         0.0122968
 3.100        0.0220762         0.0114585
 3.200        0.0208907         0.0106996
 3.300        0.0197959         0.0100108
 3.400        0.0187828         0.0093836
 3.500        0.0178433         0.0088112
 3.600        0.0169704         0.0082874
 3.700        0.0161579         0.0078070
 3.800        0.0154003         0.0073654
 3.900        0.0146914         0.0069587
 4.000        0.0140294         0.0065832
 4.100        0.0134092         0.0062360
 4.200        0.0128273         0.0059143
 4.300        0.0122805         0.0056158
 4.400        0.0117661         0.0053382
 4.500        0.0112816         0.0050798
 4.600        0.0108246         0.0048389
 4.700        0.0103931         0.0046138
 4.800        0.0099852         0.0044034
 4.900        0.0095992         0.0042064
 5.000        0.0092335         0.0040216
 5.100        0.0088867         0.0038482
 5.200        0.0085576         0.0036852
 5.300        0.0082449         0.0035318
 5.400        0.0079476         0.0033873
 5.500        0.0076646         0.0032511
 5.600        0.0073951         0.0031225
 5.700        0.0071381         0.0030010
 5.800        0.0068930         0.0028861
 5.900        0.0066590         0.0027774
 6.000        0.0064353         0.0026743
 6.100        0.0062215         0.0025766
 6.200        0.0060169         0.0024838
 6.300        0.0058211         0.0023958
 6.400        0.0056334         0.0023120
 6.500        0.0054536         0.0022324
 6.600        0.0052810         0.0021565
 6.700        0.0051154         0.0020843
 6.800        0.0049563         0.0020154
 6.900        0.0048035         0.0019497
 7.000        0.0046566         0.0018870
